lua,benchmark,input,duration,emissions,energy_consumed
Lua 5.4.6,Knucleotide,1000000,9.294018030166626,2.6440262031760735e-06,1.1270118723710378e-05
Lua 5.4.6,Mandelbrot,4000,16.413952112197876,8.526862949357813e-06,3.634561475398143e-05
Lua 5.4.6,Mandelbrot,4000,16.19620704650879,5.205579609976027e-06,2.218869849310981e-05
Lua 5.4.6,Mandelbrot,4000,16.213768005371094,5.177627623420274e-06,2.20695536046558e-05
Lua 5.4.6,Mandelbrot,4000,16.183796882629395,5.164265241632915e-06,2.2012596669435497e-05
Lua 5.4.6,Mandelbrot,4000,16.186347007751465,5.170154314365708e-06,2.203769874625736e-05
Lua 5.4.6,Mandelbrot,4000,16.17595601081848,5.158583315993886e-06,2.1988377553734516e-05
Lua 5.4.6,Mandelbrot,4000,16.1975359916687,5.181077061173157e-06,2.208425677702162e-05
Lua 5.4.6,Mandelbrot,4000,16.176822662353516,5.162000271318789e-06,2.200294227027893e-05
Lua 5.4.6,Mandelbrot,4000,16.420198917388916,8.614570582459782e-06,3.671946711476644e-05
Lua 5.4.6,Mandelbrot,4000,16.351056814193726,5.303666816437865e-06,2.2606793616665735e-05
Lua 5.4.6,Nbody,5000000,15.086465835571289,4.598265472403916e-06,1.960003185100026e-05
Lua 5.4.6,Nbody,5000000,15.626965045928955,4.899574898036614e-06,2.0884358381264737e-05
Lua 5.4.6,Nbody,5000000,15.19981575012207,4.65652657026767e-06,1.9848368833859762e-05
Lua 5.4.6,Nbody,5000000,15.25560212135315,4.674874346966428e-06,1.992657593387365e-05
Lua 5.4.6,Nbody,5000000,15.289071083068848,4.6829158836853104e-06,1.9960852853457132e-05
Lua 5.4.6,Nbody,5000000,15.027225017547607,4.551255933233372e-06,1.939965445422464e-05
Lua 5.4.6,Nbody,5000000,14.876209020614624,4.494480696154691e-06,1.9157650928815206e-05
Lua 5.4.6,Nbody,5000000,15.258327007293701,7.510835356587914e-06,3.201481365097894e-05
Lua 5.4.6,Nbody,5000000,15.028373003005981,4.560807763419554e-06,1.944036897516913e-05
Lua 5.4.6,Nbody,5000000,15.082894086837769,4.599230793107729e-06,1.9604146514813107e-05
Lua 5.4.6,Spectralnorm,4000,33.638267040252686,1.4926829409449333e-05,6.36253677860631e-05
